科目代號,永續課程
405007001,2
405007011,2
405007021,1
405007031,3
405878001,3
405883001,1
405897001,1
405898001,1
405901001,5
405908001,1
405917001,1
405925001,3
405929001,5
405937001,4
405938001,3
405944001,3
405948001,2
405948011,3
405949001,2
405950001,2
405950011,2
461850001,2
461851001,2
461852001,4
461863001,1
461877001,4
461891001,4
461903001,1
461910001,1
461920001,1
461941001,2
461942001,1
462004001,3
462006001,3
462008001,4
462882001,2
462883001,2
462885001,1
462886001,3
462887001,2
462894001,1
462896001,4
462926001,2
462932001,1
462M01001,3
463004001,1
463884001,3
463885001,3
463887001,4
463890001,3
463901001,3
463933001,5
464781001,2
464784001,3
464790001,3
464796001,2
464799001,4
464805001,4
464808001,2
464812001,1
464835001,3
464860011,1
464868001,3
464877001,5
464889001,5
464901001,1
464913001,3
464915001,3
465007001,3
465008001,3
465009001,4
465010001,3
465012001,2
465013001,4
465014001,4
465937001,1
465938001,2
465939001,3
501009002,1
501009012,1
501011001,1
501011011,1
501019002,1
501019022,3
501019042,1
501019052,1
501019111,1
501019121,1
501019131,1
501019141,1
501019151,1
501045001,3
501047001,2
501058001,3
501058011,1
501058021,1
501059001,1
501066001,1
501067001,1
501068001,2
501768001,1
501804001,3
501838001,1
501856001,1
501858001,1
501875001,5
501878001,1
501914001,1
502045002,4
502086001,5
502101002,1
502101012,1
502108002,1
502111002,2
502114002,4
502114012,1
502115002,1
502115012,1
502119001,1
502123001,4
502124002,5
502130001,3
502130011,3
502130021,3
502812001,3
502813001,1
502818001,3
502872001,5
504021002,1
504021012,1
504024002,1
504024012,1
504025001,1
504031002,1
504031012,1
504032002,1
504032012,1
504047002,1
504054002,1
504054012,1
504055002,1
504055012,1
504056002,1
504056012,1
504057002,1
504064002,1
504064012,1
504065001,1
504065011,1
504096002,1
504780001,3
504781001,2
504782001,2
504791001,1
504808001,1
504813001,1
504817001,1
504818001,4
504824001,4
504827002,1
504830002,1
504831002,1
504834002,1
504838002,1
504839002,1
504901002,1
504902002,1
504910002,1
504919002,1
504927002,1
504933001,3
506005002,1
506006002,3
506006012,3
506006022,2
506007002,2
506008002,3
506009002,4
506009012,4
506009022,3
506010002,3
506010012,1
506010022,4
506011002,4
506011012,4
506011022,4
506021001,3
506023001,2
506069001,1
506076001,1
506077001,3
506078001,4
506829001,1
506830001,1
506834001,3
506835001,3
506842001,1
506843001,1
506844001,3
506859001,4
506861001,1
506914002,3
506M01001,2
507022001,3
507026002,1
507027002,5
507028002,3
507046002,1
507046012,3
507047002,3
507047012,1
507048002,2
507048012,5
507049002,2
507049012,3
507050002,2
507050012,3
507816001,1
507818012,1
507820002,1
507859001,4
507862001,3
507867001,3
507873001,1
507891002,3
507892001,4
507913001,1
507928011,2
507936001,2
508052002,1
508055002,1
508079002,2
508079012,2
508080002,2
508080012,3
508081002,2
508082002,3
508083002,2
508084002,2
508085002,3
508797001,3
508798001,2
508799001,3
508800001,3
508803001,3
508810001,2
508826001,3
508840001,3
508855001,4
508918002,3
509004002,1
509005002,1
509006002,3
509007002,4
509008002,1
509009002,3
509014002,1
509015002,1
509016002,3
509017002,3
509018002,1
509019002,5
509024002,1
509025002,1
509026002,5
509031002,1
509032002,1
509033002,2
509040002,5
509041002,1
509042002,2
509047002,1
509048002,1
509049002,2
509056002,1
509057002,3
509058002,2
509059002,1
509060002,2
509061002,5
509062002,2
509063002,3
509064002,3
509065002,1
509066002,2
509067002,5
509881001,3
509885002,2
509887001,1
509889001,4
509892001,4
509899001,2
509902001,2
509906002,3
509907002,3
509912002,1
509913001,1
509914001,2
509918002,3
509922001,1
509932001,4
510001002,3
510002002,2
510006002,3
510007002,3
510013001,3
510014001,2
510016002,3
510024001,2
510026002,3
510028001,1
510029002,4
510032002,2
510033002,4
510037001,4
510038002,1
510042002,2
510043002,4
510047001,5
510049001,3
510052002,4
510055002,1
510056002,1
510057002,1
510059002,1
510060002,2
510065001,4
510066001,1
510068001,1
510070002,1
510071002,3
510072002,2
510073002,3
510079001,4
510080001,1
510081002,5
510082002,1
510083002,2
510875001,1
510876001,2
510878001,5
510881001,1
510888001,4
510889001,1
510890001,3
510891001,1
510893001,1
510897001,2
510905002,4
510911001,3
510915001,5
551005011,1
551014001,3
551737001,3
551745001,1
551764001,5
551767001,2
551779001,1
551780001,3
551795001,3
551801001,3
551885001,1
554012001,2
554013001,1
554871001,4
555017001,2
555732001,1
555733001,3
555734001,1
555737001,5
555783001,3
555797001,1
555813001,3
555815001,3
555939001,1
556750001,1
556752001,3
556753001,1
556754001,1
556760001,4
556776001,1
556777001,3
556779001,1
556901001,3
557003001,3
557901001,5
557903001,3
557905001,2
557906001,3
557928001,2
560007001,3
560879001,4
560880001,1
560882001,1
560884001,1
560891001,3
560903001,3
560905001,3
560912001,3
560921001,4
560937001,5
599772001,1
599773001,1
599774001,4
599775001,3
599776001,3
599777001,3
599788001,5
599792001,1
599793001,2
599793011,1
599793021,1
599794001,3
599794011,2
599794021,3
599795001,1
599795011,1
599795021,1
599796001,3
599796011,3
599796021,1
599796031,2
599861001,1
599865001,1
599882001,1
599885001,1
599886001,1
599890001,3
599894001,5
599894011,5
599902001,1
599902011,1
599902021,1
599904001,1
599912001,1
